,article,first_subcategory,first_seen,last_seen
342,543709,66,1,31
343,836104,66,1,31
344,846629,66,1,31
345,133574,66,1,31
346,846624,66,1,31
347,1338705,66,1,31
348,530420,66,1,31
349,1234588,66,1,31
350,1196603,66,1,31
351,1193972,66,1,31
352,1234594,66,1,31
353,1239000,66,1,31
354,1424286,66,1,31
355,1238995,66,1,31
356,1424285,66,1,31
357,846630,66,1,31
358,1238998,66,1,31
359,1514332,66,1,31
360,1238999,66,1,31
361,1239001,66,1,31
362,390549,66,1,31
363,836107,66,1,31
364,1301159,66,1,31
365,1239002,66,1,31
366,1424287,66,1,31
367,1338708,66,1,31
368,1502149,66,1,31
369,1239003,66,1,31
370,1238996,66,1,31
371,1502150,66,1,31
372,1502148,66,1,31
373,1502147,66,1,31
374,1502152,66,1,31
375,1502151,66,1,31
376,1477425,51,1,31
377,944105,51,1,1
378,1254692,51,1,31
379,1091316,51,1,31
380,1477424,51,1,31
381,1440822,51,1,31
382,1254693,51,1,31
383,1392989,51,1,31
384,1293783,51,1,31
385,271567,51,1,31
386,1287250,51,1,31
387,1451661,51,1,1
388,1287235,51,1,31
389,766391,51,1,31
390,950733,51,1,31
391,917786,51,1,31
392,1109282,51,1,31
393,1109281,51,1,31
394,217289,51,1,31
395,685058,51,1,31
396,950735,51,1,31
397,754429,51,1,31
398,409452,51,1,31
399,333445,51,1,31
400,1260967,51,1,31
401,142937,51,1,31
402,1287242,51,1,31
403,1234261,51,1,31
404,1477423,51,1,31
405,1234552,51,1,31
406,488689,73,1,31
407,898326,73,1,31
408,488653,73,1,31
409,1224598,73,1,1
410,1097575,73,1,31
411,1160212,73,1,31
412,1160209,73,1,31
413,1284176,73,1,1
414,434749,73,1,31
415,488659,73,1,31
416,1009417,73,1,31
417,1169908,73,1,31
418,1464815,73,1,31
419,1464814,73,1,31
420,1464813,73,1,31
421,434748,73,1,31
422,1169909,73,1,31
423,1062940,73,1,31
424,1169906,73,1,31
425,1169910,73,1,31
426,1062941,73,1,31
427,1160221,73,1,31
428,1293819,73,1,31
429,1464820,73,1,31
430,1293820,73,1,31
431,1062943,73,1,31
432,1062936,73,1,31
433,899324,73,1,1
434,1062942,73,1,31
435,1062939,73,1,31
436,742383,52,1,31
437,719301,52,1,31
438,719190,52,1,31
439,820389,52,1,31
440,832967,52,1,31
441,820390,52,1,31
442,450262,52,1,31
443,783928,52,1,31
444,784131,52,1,31
445,640511,52,1,31
446,366381,52,1,31
447,742382,52,1,31
448,719302,52,1,31
449,1478082,52,1,31
450,409449,52,1,31
451,1439419,52,1,31
452,1439418,52,1,31
453,684770,52,1,1
454,684769,52,1,1
455,719303,52,1,31
456,832966,52,1,31
457,765116,52,1,31
458,422196,52,1,31
459,1245233,52,1,31
460,429619,52,1,31
461,450264,52,1,31
462,987855,52,1,31
463,1439410,52,1,31
464,639084,52,1,31
465,765117,52,1,31
466,1532395,65,1,31
467,1532404,65,1,31
468,1532413,65,1,31
469,1532433,65,1,31
470,1532397,65,1,31
471,1532436,65,1,31
472,1532399,65,1,31
473,1532421,65,1,31
474,1532416,65,1,31
475,1532428,65,1,31
476,1532408,65,1,31
477,1528185,65,1,31
478,1528187,65,1,31
479,1531930,65,1,31
480,1531926,65,1,31
481,1531931,65,1,31
482,1531933,65,1,31
483,1531925,65,1,31
484,1531927,65,1,31
485,1447135,65,1,1
486,1484807,65,1,31
487,1447141,65,1,1
488,1458335,65,1,31
489,1447125,65,1,1
490,1266306,65,1,1
491,1447181,65,1,1
492,1447126,65,1,1
493,1447185,65,1,1
494,1266315,65,1,1
495,1447132,65,1,1
496,133550,10,1,31
497,393371,10,1,31
498,1435149,10,1,31
499,1423044,10,1,31
500,1058718,10,1,31
501,1045253,10,1,31
502,1419078,10,1,31
503,1253279,10,1,31
504,1058720,10,1,31
505,1092283,10,1,31
506,330321,10,1,31
507,972458,10,1,31
508,945272,10,1,1
509,792155,10,1,31
510,104579,10,1,31
511,494717,10,1,31
512,1423033,10,1,31
513,1431274,10,1,1
514,1391913,10,1,31
515,1221216,10,1,31
516,1221215,10,1,31
517,1445518,10,1,31
518,1363217,10,1,31
519,1423040,10,1,31
520,972449,10,1,31
521,909607,10,1,1
522,945271,10,1,31
523,909605,10,1,31
524,443317,10,1,31
525,827599,10,1,31
526,133554,14,1,31
527,271756,14,1,31
528,1147502,14,1,31
529,997537,14,1,31
530,561499,14,1,31
531,305421,14,1,31
532,561500,14,1,31
533,66834,14,1,31
534,1245679,14,1,31
535,561501,14,1,31
536,1147503,14,1,31
537,761023,14,1,31
538,420999,14,1,31
539,761025,14,1,31
540,831367,14,1,31
541,911008,14,1,31
542,172707,14,1,31
543,971676,14,1,31
544,972465,14,1,31
545,636026,14,1,31
546,521956,14,1,31
547,831369,14,1,31
548,891513,14,1,1
549,1502124,14,1,31
550,1245681,14,1,31
551,1245678,14,1,31
552,971674,14,1,31
553,972454,14,1,31
554,420995,14,1,31
555,464233,14,1,31
556,1291445,88,1,31
557,1291444,88,1,31
558,1291442,88,1,31
559,1291443,88,1,31
560,1291446,88,1,31
561,1234980,88,1,31
562,1234979,88,1,31
563,1430845,88,1,31
564,1358619,88,1,31
565,1430826,88,1,31
566,1453126,88,1,31
567,1453125,88,1,31
568,1430852,88,1,31
569,1430843,88,1,31
570,1448888,88,1,31
571,1448889,88,1,31
572,1448890,88,1,31
573,1448891,88,1,31
574,1448892,88,1,31
575,1430842,88,1,31
576,1430844,88,1,31
577,1430841,88,1,31
578,1430829,88,1,31
579,1430851,88,1,31
580,1258335,51,1,1
581,1258336,51,1,1
582,419669,51,1,1
583,271981,51,1,31
584,419667,51,1,1
585,172744,51,1,31
586,1260759,51,1,31
587,685053,51,1,31
588,393365,51,1,31
589,419633,51,1,1
590,419630,51,1,1
591,1330602,51,1,1
592,1287249,51,1,1
593,1260757,51,1,1
594,685067,51,1,1
595,798987,51,1,1
596,1394527,51,1,31
597,923593,51,1,31
598,419634,51,1,1
599,1260760,51,1,1
600,896156,51,1,1
601,1327585,51,1,1
602,685057,51,1,1
603,172743,51,1,31
604,863935,51,1,31
605,1274919,51,1,1
606,1260965,51,1,1
607,1260970,51,1,1
608,1327583,51,1,1
609,685068,51,1,1
610,1364673,11,1,31
611,1454086,11,1,31
612,1371657,11,1,31
613,1371658,11,1,31
614,1241044,11,1,31
615,849763,11,1,31
616,1275186,11,1,31
617,1275187,11,1,31
618,1397104,11,1,31
619,1477109,11,1,1
620,1230073,11,1,31
621,1490353,11,1,31
622,1230071,11,1,31
623,1490355,11,1,31
624,976478,11,1,31
625,1477110,11,1,31
626,1230072,11,1,31
627,1208888,11,1,31
628,1301750,11,1,31
629,1431271,11,1,31
630,1431272,11,1,31
631,976475,11,1,31
632,1477108,11,1,31
633,1477106,11,1,31
634,1195767,11,1,31
635,1199455,11,1,31
636,1477105,11,1,31
637,1230074,11,1,31
638,1047749,11,1,1
639,1477107,11,1,31
640,1299308,45,1,31
641,1299311,45,1,31
642,1299310,45,1,31
643,957299,45,1,31
644,327366,11,1,31
645,104574,11,1,31
646,493164,11,1,31
647,172700,11,1,31
648,63107,11,1,31
649,1007979,11,1,31
650,98223,11,1,31
651,1007973,11,1,31
652,411572,11,1,31
653,493168,11,1,31
654,1378657,11,1,31
655,1289701,11,1,31
656,1378658,11,1,31
657,1301755,11,1,31
658,738750,11,1,31
659,659046,11,1,31
660,1342842,11,1,31
661,1342839,11,1,31
662,1342843,11,1,31
663,1342840,11,1,31
664,656061,11,1,31
665,443312,11,1,31
666,1289702,11,1,31
667,1294446,11,1,31
668,1289703,11,1,31
669,521958,11,1,31
670,655997,11,1,31
671,1289704,11,1,31
672,720412,11,1,31
673,972473,11,1,31
674,923094,3,1,31
675,1476677,3,1,1
676,1245372,3,1,31
677,1071933,3,1,31
678,1238871,3,1,1
679,1071932,3,1,31
680,1222367,3,1,31
681,1155684,3,1,31
682,1456169,3,1,31
683,1456168,3,1,31
684,1432573,3,1,31
685,774761,3,1,1
686,1222364,3,1,31
687,1432571,3,1,31
688,1317337,3,1,31
689,808255,3,1,31
690,808252,3,1,31
691,1369762,3,1,31
692,1419731,3,1,31
693,1456167,3,1,31
694,1432575,3,1,31
695,394940,3,1,1
696,1432574,3,1,31
697,1453890,3,1,31
698,1369761,3,1,31
699,1317338,3,1,31
700,1361544,3,1,31
701,1419733,3,1,31
702,808257,3,1,31
703,1377185,3,1,31
704,1508466,33,1,31
705,1501073,33,1,31
706,1508467,33,1,31
707,1195260,33,1,31
708,1192379,33,1,31
709,1178632,33,1,1
710,1192363,33,1,31
711,1508471,33,1,1
712,1508455,33,1,31
713,1508460,33,1,31
714,1508469,33,1,31
715,1508454,33,1,31
716,1508461,33,1,31
717,1508464,33,1,31
718,1508468,33,1,31
719,1508456,33,1,31
720,1508459,33,1,31
721,1491363,33,1,31
722,1508465,33,1,31
723,1508457,33,1,1
724,450235,50,1,31
725,450237,50,1,31
726,450238,50,1,31
727,254930,50,1,31
728,380813,50,1,31
729,380814,50,1,31
730,1260968,57,1,31
731,732617,57,1,31
732,1366011,57,1,31
733,952700,57,1,31
734,1356263,57,1,31
735,732618,57,1,31
736,1366012,57,1,31
737,952699,57,1,31
738,905884,57,1,31
739,1452543,57,1,31
740,1225914,57,1,31
741,839767,57,1,31
742,1423803,57,1,31
743,331288,57,1,31
744,1423793,57,1,31
745,1423794,57,1,31
746,1480970,57,1,31
747,450206,57,1,31
748,1423792,57,1,31
749,1297323,57,1,31
750,1131055,57,1,31
751,1291279,57,1,31
752,1007966,57,1,31
753,1492019,57,1,31
754,1440828,57,1,31
755,738850,57,1,31
756,1287245,57,1,31
757,475006,57,1,31
758,1403777,57,1,31
759,494738,57,1,31
760,930212,72,1,31
761,1195480,72,1,31
762,488622,72,1,31
763,468369,93,1,31
764,939006,93,1,31
765,468368,93,1,31
766,939005,93,1,31
767,1443556,57,1,31
768,1475936,57,1,31
769,1288320,57,1,31
770,912293,57,1,31
771,1396552,57,1,31
772,1374787,57,1,31
773,1494302,57,1,31
774,1287246,57,1,31
775,1396551,57,1,31
776,1494303,57,1,31
777,912295,57,1,31
778,1288317,57,1,31
779,1451608,57,1,31
780,1295140,57,1,31
781,905882,57,1,1
782,1439805,57,1,31
783,1256111,57,1,31
784,1373129,57,1,31
785,1451605,57,1,31
786,1288321,57,1,31
787,1292049,57,1,31
788,611547,57,1,31
789,1403779,57,1,31
790,1236435,57,1,31
791,1383796,57,1,31
792,1365979,57,1,31
793,912292,57,1,31
794,1288319,57,1,1
795,406343,57,1,31
796,912287,57,1,31
797,1254707,1,1,31
798,1003534,1,1,31
799,1383259,1,1,31
800,849765,1,1,1
801,1453564,1,1,31
802,1107590,1,1,1
803,1107589,1,1,1
804,1423084,1,1,31
805,1332461,1,1,31
806,1240293,1,1,31
807,1328050,1,1,31
808,1302825,1,1,31
809,1456165,1,1,31
810,1331841,1,1,1
811,403237,1,1,31
812,1452512,1,1,31
813,1258017,1,1,31
814,1155681,1,1,31
815,1439415,1,1,31
816,1331838,1,1,31
817,914185,1,1,31
818,1424845,1,1,31
819,789137,1,1,1
820,1382357,1,1,31
821,1418073,1,1,1
822,1331839,1,1,31
823,1240295,1,1,31
824,550315,1,1,31
825,1371717,1,1,31
826,1316495,1,1,1
827,415569,6,1,31
828,921290,6,1,31
829,1316724,6,1,1
830,876079,6,1,31
831,1229923,6,1,31
832,416113,58,1,31
833,1452563,58,1,31
834,561507,58,1,31
835,1452567,58,1,31
836,747705,58,1,31
837,1452547,58,1,31
838,488279,58,1,31
839,742386,58,1,1
840,742392,58,1,31
841,1072050,58,1,31
842,1264237,58,1,31
843,1331661,58,1,1
844,819898,58,1,31
845,796799,58,1,31
846,1331662,58,1,1
847,741640,58,1,31
848,851850,58,1,31
849,1452562,58,1,31
850,1452549,58,1,31
851,1453256,58,1,31
852,486791,58,1,31
853,450230,58,1,31
854,747707,58,1,31
855,416122,58,1,31
856,1452569,58,1,31
857,1452575,58,1,31
858,416116,58,1,31
859,486794,58,1,31
860,416112,58,1,31
861,738844,58,1,31
862,510243,64,1,31
863,1496481,64,1,31
864,1496440,64,1,31
865,133576,18,1,31
866,258622,18,1,31
867,497281,18,1,31
868,383103,18,1,31
869,497278,18,1,31
870,220974,18,1,31
871,497276,18,1,31
872,493889,18,1,31
873,493393,18,1,31
874,907994,18,1,31
875,907996,18,1,31
876,863008,18,1,31
877,907995,18,1,31
878,497282,18,1,31
879,907993,18,1,31
880,900866,18,1,31
881,900868,18,1,31
882,734762,18,1,31
883,907950,18,1,31
884,863009,18,1,31
885,575069,18,1,1
886,908000,18,1,31
887,907991,18,1,31
888,900869,18,1,31
889,900867,18,1,1
890,907992,18,1,31
891,835150,1,1,31
892,754512,1,1,31
893,1146380,1,1,31
894,1332462,1,1,31
895,1337386,1,1,31
896,1423085,1,1,31
897,1423087,1,1,31
898,1081307,1,1,1
899,330473,1,1,31
900,1439417,1,1,1
901,357124,1,1,31
902,1331842,1,1,1
903,1048602,1,1,1
904,1423051,1,1,1
905,452408,1,1,31
906,849764,1,1,1
907,1151104,1,1,1
908,778121,1,1,31
909,1332464,1,1,31
910,1298751,1,1,31
911,1393403,1,1,1
912,1337385,1,1,1
913,365733,1,1,31
914,1370785,1,1,31
915,1254706,1,1,31
916,1107588,1,1,1
917,1459173,1,1,1
918,765109,1,1,31
919,1082914,1,1,31
920,1289983,1,1,31
921,133706,22,1,31
922,1425345,22,1,31
923,1218508,22,1,31
924,133587,22,1,31
925,937017,22,1,31
926,937019,22,1,31
927,1502154,22,1,31
928,1478819,22,1,31
929,1478201,22,1,31
930,1217356,22,1,31
931,1218510,22,1,31
932,1218511,22,1,31
933,1218517,22,1,31
934,1478202,22,1,31
935,1217357,22,1,31
936,1218509,22,1,31
937,1478203,22,1,31
938,1395246,42,1,31
939,465340,42,1,31
940,913559,42,1,31
941,913556,42,1,31
942,1469487,42,1,31
943,564636,42,1,31
944,1395245,42,1,31
945,1158687,42,1,31
946,1395248,42,1,31
947,1395247,42,1,31
948,961851,42,1,31
949,913563,42,1,31
950,1366044,42,1,31
951,465339,42,1,31
952,1366043,42,1,31
953,1366047,42,1,31
954,1395244,42,1,31
955,1395243,42,1,31
956,1060211,42,1,31
957,1012756,42,1,31
958,1013908,42,1,31
959,715201,42,1,31
960,961840,40,1,31
961,1160223,40,1,31
962,943067,40,1,31
963,1044854,40,1,31
964,906155,40,1,31
965,958456,40,1,31
966,1012763,40,1,31
967,936259,40,1,31
968,1293825,40,1,31
969,1195495,40,1,31
970,1060167,40,1,31
971,956775,40,1,31
972,1060166,40,1,31
973,1276118,40,1,31
974,1270155,40,1,31
975,943060,40,1,31
976,1293824,40,1,1
977,956773,40,1,31
978,1293823,40,1,31
979,1044856,40,1,31
980,1178338,40,1,31
981,1300454,40,1,31
982,1060283,40,1,31
983,1195498,40,1,31
984,956771,40,1,31
985,956739,40,1,31
986,786797,40,1,31
987,1287032,40,1,31
988,956737,40,1,31
989,1195504,40,1,31
990,488557,68,1,31
991,488601,68,1,31
992,488564,68,1,31
993,488600,68,1,31
994,899325,73,1,1
995,1088124,73,1,1
996,1160217,73,1,31
997,1160216,73,1,31
998,1343871,73,1,31
999,1343870,73,1,31
1000,1033701,73,1,31
1001,899323,73,1,1
1002,1028340,73,1,1
1003,1088123,73,1,1
1004,899327,73,1,1
1005,488528,73,1,31
1006,488527,73,1,31
1007,1033639,73,1,31
1008,1160215,73,1,31
1009,1033706,73,1,31
1010,1160210,73,1,31
1011,1160219,73,1,31
1012,1160211,73,1,31
1013,1097577,73,1,31
1014,1033702,73,1,31
1015,898327,73,1,31
1016,1097578,73,1,31
1017,488529,73,1,31
1018,1028507,73,1,31
1019,1033704,73,1,31
1020,1097576,73,1,31
1021,488650,73,1,31
1022,1010231,73,1,31
1023,1028510,73,1,31
1024,1363470,2,1,31
1025,741597,2,1,31
1026,1439030,2,1,31
1027,1439031,2,1,31
1028,1533169,2,1,31
1029,1387497,13,1,1
1030,1177798,36,1,31
1031,1193616,36,1,31
1032,1196324,36,1,31
1033,1193633,36,1,31
1034,1193627,36,1,31
1035,1196325,36,1,31
1036,1193634,36,1,31
1037,1193611,36,1,31
1038,1193639,36,1,31
1039,1193644,36,1,31
1040,1193657,36,1,31
1041,1193646,36,1,31
1042,1193640,36,1,31
1043,1193658,36,1,31
1044,1458969,51,1,31
1045,1404894,51,1,31
1046,1456706,51,1,31
1047,1523809,51,1,31
1048,1541668,51,1,31
1049,1523821,51,1,31
1050,1525784,51,1,1
1051,1149462,51,1,1
1052,1458991,51,1,31
1053,1533952,51,1,1
1054,1478091,51,1,1
1055,1523823,51,1,31
1056,104580,15,1,31
1057,464231,15,1,31
1058,133555,15,1,31
1059,464237,15,1,31
1060,561502,15,1,31
1061,324581,15,1,31
1062,464236,15,1,31
1063,891515,15,1,1
1064,1381365,15,1,31
1065,997533,15,1,31
1066,831370,15,1,31
1067,998112,15,1,31
1068,911012,15,1,31
1069,1252436,15,1,31
1070,1383355,15,1,31
1071,1283266,15,1,31
1072,972453,15,1,31
1073,911011,15,1,31
1074,971675,15,1,31
1075,464232,15,1,31
1076,1221744,15,1,31
1077,464235,15,1,31
1078,986052,15,1,31
1079,1221745,15,1,31
1080,1283267,15,1,31
1081,911010,15,1,31
1082,1445523,15,1,31
1083,1445520,15,1,31
1084,1424510,15,1,1
1085,986053,15,1,31
1086,1426408,85,1,31
1087,1426410,85,1,31
1088,1426405,85,1,31
1089,158675,89,1,1
1090,539351,89,1,31
1091,1459063,89,1,31
1092,1305800,89,1,1
1093,914226,89,1,1
1094,914227,89,1,1
1095,1459064,89,1,31
1096,1305798,89,1,31
1097,929082,89,1,31
1098,929080,89,1,31
1099,929081,89,1,31
1100,929079,89,1,31
1101,1459060,89,1,31
1102,1459061,89,1,1
1103,1305796,89,1,31
1104,1459062,89,1,1
1105,1459065,89,1,1
1106,1495034,86,1,31
1107,1419200,3,1,31
1108,808256,3,1,1
1109,1222369,3,1,31
1110,1432576,3,1,31
1111,1369767,3,1,31
1112,1453889,3,1,31
1113,1369766,3,1,31
1114,1432581,3,1,31
1115,1317339,3,1,31
1116,1453891,3,1,31
1117,1222365,3,1,31
1118,1432572,3,1,31
1119,1377187,3,1,31
1120,1377182,3,1,31
1121,1377183,3,1,31
1122,1377186,3,1,31
1123,1377179,3,1,31
1124,1377184,3,1,31
1125,1377181,3,1,31
1126,1502126,3,1,31
1127,1377180,3,1,31
1128,185132,3,1,31
1129,446052,3,1,31
1130,185131,3,1,31
1131,1195758,3,1,31
1132,1078926,3,1,31
1133,835144,3,1,31
1134,493171,3,1,31
1135,835143,3,1,31
1136,383115,3,1,31
1137,185130,3,1,31
1138,185133,3,1,31
1139,1333137,3,1,31
1140,1333139,3,1,31
1141,457586,3,1,31
1142,383114,3,1,31
1143,1333140,3,1,31
1144,835142,3,1,31
1145,422200,3,1,31
1146,835145,3,1,31
1147,1333142,3,1,31
1148,849749,3,1,31
1149,457588,3,1,31
1150,849748,3,1,31
1151,1333141,3,1,31
1152,835141,3,1,31
1153,697533,3,1,1
1154,774762,3,1,31
1155,330479,3,1,31
1156,185134,3,1,31
1157,1302823,3,1,31
1158,1069280,40,1,31
1159,1179485,40,1,31
1160,1044857,40,1,31
1161,956738,40,1,31
1162,786792,40,1,31
1163,956736,40,1,31
1164,956734,40,1,31
1165,786770,40,1,31
1166,1276117,40,1,31
1167,930796,40,1,31
1168,463481,40,1,31
1169,1179481,40,1,31
1170,463482,40,1,31
1171,1343874,40,1,31
1172,956740,40,1,31
1173,974208,40,1,31
1174,1179484,40,1,31
1175,956732,40,1,31
1176,1009418,40,1,31
1177,943078,40,1,31
1178,1069281,40,1,31
1179,926298,40,1,31
1180,961842,40,1,31
1181,1112735,40,1,31
