,subcategory,subcategory_id,category_id,cat__subcat
85,Сухие завтраки,86,15,Продукты быстрого приготовления__Сухие завтраки
86,Картофельное пюре,87,15,Продукты быстрого приготовления__Картофельное пюре
87,Супы,88,15,Продукты быстрого приготовления__Супы
88,Лапша быстрого приготовления,89,15,Продукты быстрого приготовления__Лапша быстрого приготовления
89,Готовые обеды,90,15,Продукты быстрого приготовления__Готовые обеды
90,Фрукты и ягоды,91,16,"Фрукты, овощи, ягоды, грибы__Фрукты и ягоды"
91,Фруктовые наборы,92,16,"Фрукты, овощи, ягоды, грибы__Фруктовые наборы"
92,Свежие грибы,93,16,"Фрукты, овощи, ягоды, грибы__Свежие грибы"
93,"Свежие салаты,зелень",94,16,"Фрукты, овощи, ягоды, грибы__Свежие салаты,зелень"
94,Овощи,95,16,"Фрукты, овощи, ягоды, грибы__Овощи"
95,Овощные наборы,96,16,"Фрукты, овощи, ягоды, грибы__Овощные наборы"
96,Приправы и специи,97,17,"Сахар, соусы, приправы__Приправы и специи"
97,"Соусы, горчица, хрен",98,17,"Сахар, соусы, приправы__Соусы, горчица, хрен"
98,"Сода, крахмал, уксус, пищевые добавки",99,17,"Сахар, соусы, приправы__Сода, крахмал, уксус, пищевые добавки"
99,Кетчупы и томатные пасты,100,17,"Сахар, соусы, приправы__Кетчупы и томатные пасты"
100,Майонезы,101,17,"Сахар, соусы, приправы__Майонезы"
101,Икра,102,4,Консервация__Икра
102,"Хлебные палочки, соломка",103,18,"Хлебобулочные изделия__Хлебные палочки, соломка"
103,"Сушки, баранки и сухари",104,18,"Хлебобулочные изделия__Сушки, баранки и сухари"
104,Хлеб и хлебцы,105,18,Хлебобулочные изделия__Хлеб и хлебцы
105,Выпечка,106,18,Хлебобулочные изделия__Выпечка
106,Наборы конфет в коробках,107,19,Конфеты__Наборы конфет в коробках
107,Шоколадные конфеты,108,19,Конфеты__Шоколадные конфеты
108,"Леденцы, Карамель, Драже",109,19,"Конфеты__Леденцы, Карамель, Драже"
109,Корм для собак,110,20,Корма для животных__Корм для собак
110,Кофе в зернах,111,21,Кофе__Кофе в зернах
111,Кофе растворимый,112,21,Кофе__Кофе растворимый
112,Капсулы для кофемашин,113,21,Кофе__Капсулы для кофемашин
113,Кофе молотый,114,21,Кофе__Кофе молотый
114,Кофе порционный,115,21,Кофе__Кофе порционный
115,Горячий шоколад и какао,116,21,Кофе__Горячий шоколад и какао
116,Цикорий,117,21,Кофе__Цикорий
117,Молоко,118,22,Молочные продукты__Молоко
118,Сливки,119,22,Молочные продукты__Сливки
119,Творог,120,22,Молочные продукты__Творог
120,Сырки глазированные,121,22,Молочные продукты__Сырки глазированные
121,Молоко сгущенное,122,22,Молочные продукты__Молоко сгущенное
122,"Йогурты, творожки, десерты",123,22,"Молочные продукты__Йогурты, творожки, десерты"
123,"Кефир, ряженка",124,22,"Молочные продукты__Кефир, ряженка"
124,Сливочное масло,125,22,Молочные продукты__Сливочное масло
125,Сметана,126,22,Молочные продукты__Сметана
126,Халва и козинаки,127,9,Кондитерские изделия__Халва и козинаки
